Surface Water/ Ground Water/Sea Water ,Country,WaterType,Year,Journal ,,lon,lat,Title,Journal / Conference Publication,Year of Publication,Authors,Country,Focus of Work
"Perak River Basin , Surface Water",Malaysia,S,2017, T& F Journal,,37.9062,0.0236,Designing and Implementing a Network for Sensing Water Quality and Hydrology Across Mountain to Urban Transitions,Journal of American Water Resources Association,2017,"Amber Spackman Jones, Zachary T. Aanderud, Jeffery S. Horsburgh, David P. Eiriksson, Dylan Dastrup, Christopher Cox, Scott B. Jones, David R. Bowling, Jonathan Carlisle, Gregory T. Carling, and Michelle A. Baker",USA,Water Quality Monitoring
"River Water, 40 monitoring sites on three different rivers, Surface Water",USA,S,2017, American Water Resources Association,,37.9062,0.0236,Water Quality Monitoring with Internet of Things (IoT),IEEE Conference,2017,"Kamarul Hafiz Kamaludin, Widad Ismail",Malaysia,Water Quality Monitoring
Ground Water,Iran,G,2016, Springer Journal,,101.9758,4.2105,"An application of Water Quality Index(WQI) and multivariate statistics to evaluate the water quality around Maddhapara GraniteMining Industrial Area, Dinajpur, Bangladesh",Environmental System Research,2017,"M. Farhad Howladar, Md. Abdullah Al Numanbakth and Mohammed Omar Faruque",Bangladesh,Water Quality Index
"Island Park and Hog Island Channel Monitoring Station (River Water), Surface Water",USA,S,2016, IEEE Conference ,,30.3753,69.3451,A Wireless Sensor Network Platform for Water Quality Monitoring,IEEE Sensors,2016,"Tomoaki Kageyama, Masashi Miura, Akihiro Maeda, Akihiro Mori and Sang-Seok Lee",Japan,Water Quality Monitoring
"Lake Togo, Surface Water",,S,2016,IEEE Journal,,45.0792,23.8859,Predicting and Analysing Water Quality Model Using Machine Learning: A Comprehensive Model,IEEE Conference,2016,"Yafra Khan, Chai Soo See",Malaysia,Water Quality Monitoring
"River Water, 12 monitoring stations, Surface Water",Brazil,S,2015, WIT Journal,,-3.7492,40.4637,Artificial Intelligence for the Prediction of Water Quality Index in Groundwater Systems,Model Earth System Environment,2016,Mohamad Sakizadeh,Iran,Water Quality Index
"Apulia Region, Coastal Monitoring, Sea Water",Italy ,SE,2015, IEEE Journal,,23.6978,120.9605,Monitoring pH with Quality Control Based on Geostatistics Methodology,IEEE Latin America Transactions,2016,"D. V. Cruz, M. R. G. Oliveira, D. V. C. and M. C. Filho",Brazil,Water Quality Monitoring
"Arno River, Tuscany , four locations, Surface Water",Italy ,S,2015, IEEE Journal ,,35.2433,38.9637,A Smart Sensor Network for Sea Water Quality Monitoring,IEEE Sensors Journal,2015,"Francesco Adamo, Filippo Attivissimo, Carlo Guarnieri Calò Carducci, Anna Maria Lucia Lanzoll",Italy,Water Quality Monitoring
"Surface Water , Riyadh",Saudi Arabia,S,2015, Arabian Journal of Chemistry,,31.1656,48.3794,Evaluation of Water Quality of Ganges River Using Water Quality Index Tool,Environment Asia,2015,"Prabodha Kumar Meher, Prerna Sharma, Yogendra Prakash Gautam, Ajay Kumar,Kaushala Prasad Mishra",India,"Water Quality Monitoring, Water Quality Index"
"River Water, Ganges,  five monitoring stations, Surface Water",,S,2015, Environement Asia,,-3.436,55.3781,Evaluation of the Suitability of Surface Water from Riyadh Mainstream Saudi Arabia for a Variety of Uses,Arabian Journal of Chemistry,2015,Ahmed A. Al-Othman,Saudi Arabia,Water Quality Index
"River Water, 12 monitoring stations, Surface Water",Brazil ,S,2014, WIT Transanctions,,-95.7129,37.0902,A Low-Cost Unmanned Surface Vehicle for Pervasive Water Quality Monitoring,IEEE Transactions on Instrumentation and Measurement,2015,"Dario Madeo, Alessandro Pozzebon, Chiara Mocenni, Duccio Bertoni",Italy,Water Quality Monitoring
Ground Water,Cyprus,G,2014, IEEE Journal,,-95.7129,37.0902,Use of Water Quality Index as a Tool for Urban Water Resources Management,International Journal of Sustainable Development and Planning,2015,"A.R. Finotti, R. Finkler, N. Susin, V.E. Scheneider",Brazil,"Water Quality Index, Water Quality Monitoring"
"Yamuna River, Surface Water",India,S,2014, Springer Journal,,1.429,6.2516,A Low-cost Sensor Network for Real-Time Monitoring and Contamination Detection in Drinking Water Distribution Systems,IEEE Sensors Journal,2014,"Theofanis P. Lambrou, Christos C. Anastasiou, Christos G. Panayiotou, Marios M. Polycarpou",Cyprus,Water Quality Monitoring
"Ebro River , Surface Water",Spain,S,2006,ScienceDirect Journal,,81.8463,25.4358,Development of Monitoring Network of Water Resources in Urban Areas as a Support for Municipal Environmental Management,WIT Transactions on Ecology and Environment,2014,"A.R. Finotti, R. Finkler, N. Susin, M.D. Silva, V.E. Scheneider",Brazil,Water Quality Monitoring
,,,,,,,,,,,,,
